rodada,grupo,primitiva,mu_bruta_ns,sigma_bruta_ns,cv_bruto_pct,mu_fil_ns,sigma_fil_ns,cv_fil_pct,status
2,F,math.sqrt(var float),202.39998896916708,135.74629334827904,67.06833040833722,-34.63393384159273,30.613543797137137,inf,REPROVADO
2,F,abs(var int),301.5332210149306,975.1143233731408,323.3853703054688,38.28246723586088,46.810423620652884,122.27640222938267,REPROVADO
2,F,len(lista_apoio),189.43328420088315,374.3863021418485,197.6349107397796,-44.87324870101607,54.19266740235378,inf,REPROVADO
2,F,"round(var float, 2)",539.0667550576229,700.5692823655746,129.95965263906658,260.8677049464005,136.24888015484052,52.22910984049752,REPROVADO
3,tau_a,var int <- cte int (a = 5),269.1000069413955,49.49084283513879,18.391245469539093,113.28944317589753,46.665335494397986,41.19124799823016,REPROVADO
3,tau_a,var float <- cte float,62.715150315944825,25.67142897223041,40.93337709134638,-94.38794687770081,5.046978916813651,inf,REPROVADO
3,tau_a,var bool <- cte bool,254.1666690376587,498.7774051163028,196.24028870693556,73.23741707814857,67.96911364492468,92.80654118699692,REPROVADO
3,tau_a,var int <- var int (a = b),473.7666798367475,2982.6722347689897,629.5656410021851,154.94365509031977,57.52474672693315,37.12623578771317,REPROVADO
3,tau_a,var float <- var float,213.13335067437342,272.5661278231842,127.88525444786565,53.23751303066799,53.91272647210837,101.26830387635015,REPROVADO
3,tau_c,Igualdade: cte int == cte int,48.13655851326222,29.329633334886854,60.93005865138068,-109.11068213534608,8.670753867008452,inf,REPROVADO
3,tau_c,Igualdade: var int == cte int,287.99997380701825,790.6944632232174,274.54671358860696,103.0723896070399,73.59267395551547,71.3990179485361,REPROVADO
3,tau_c,Igualdade: var int == var int,73.46602465893226,256.3911496264176,348.9928178593023,-93.02932003353625,8.009631265686883,inf,REPROVADO
3,tau_c,Igualdade: var float == var float,199.43338217368972,72.32858720673626,36.26704136409026,44.458053594399566,58.46627120080305,131.50884142208176,REPROVADO
3,tau_c,Desigualdade: var int != var int,51.576101780157394,110.5300368080594,214.30475160606855,-107.33643366716777,9.144096505955755,inf,REPROVADO
3,tau_c,Relacional: var int > var int,65.16777595809091,50.94941218087345,78.18191035649087,-92.80433640096523,6.870363044908137,inf,REPROVADO
3,tau_c,Relacional: var float < cte float,53.999444207875065,79.20738363324733,146.68184977669833,-105.98007971935832,10.088291289578127,inf,REPROVADO
3,tau_o,Soma Int: var int + cte int,44.60967677239809,88.66440318353413,198.755986589875,-114.39887850213421,5.629651651170655,inf,REPROVADO
3,tau_o,Soma Int: var int + var int,60.946782596466505,131.9357788636861,216.47702018536958,-103.09588329565882,10.964920209682846,inf,REPROVADO
3,tau_o,Soma Float: var float + var float,45.87570530241407,21.614683996020915,47.11575299722641,-110.68626923017362,6.311373299713431,inf,REPROVADO
